,R-Syn-1,R-Syn-1,R-Syn-Max,R-Syn-Max,R-Sem,R-Sem,S-Syn-1,S-Syn-1,S-Syn-Max,S-Syn-Max,S-Sem-R,S-Sem-R,S-Sem-W-1,S-Sem-W-1,S-Sem-W-max,S-Sem-W-max,total,total
,mean,SD,mean,SD,mean,SD,mean,SD,mean,SD,mean,SD,mean,SD,mean,SD,mean,SD
Qwen-3.5-397B,0.9414359988345329,0.21541860869040147,0.9939624305005539,0.014973020846972822,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.21071307505705475,0.94,0.21071307505705475,0.9769248036668858,0.13315209598184494
Claude Opus 4.6,0.9337813829727488,0.23389822557614867,0.9962244696439412,0.013345717719114688,0.6571428571428573,0.4149300544831366,1.0,0.0,1.0,0.0,1.0,0.0,0.7466666666666668,0.3624607258418184,0.8366666666666668,0.31125195224733576,0.8963102553866101,0.26974576560817254
Claude Sonnet 4.6,0.9337813829727488,0.23389822557614867,0.9955581732790704,0.01347263905869411,0.28195744014159735,0.3000699254861367,1.0,0.0,1.0,0.0,1.0,0.0,0.7466666666666668,0.3624607258418184,0.7966666666666667,0.33795134429546375,0.8443287912158439,0.3205784837801636
Gemini 3 Flash Preview,0.9608409673906065,0.16842414125999763,0.9945818718949306,0.01407601752302239,0.9733333333333334,0.0611010092660779,1.0,0.0,1.0,0.0,1.0,0.0,0.7600000000000001,0.36660605559646714,0.8500000000000001,0.3122498999199199,0.9423445215773589,0.19999338191638927
GPT5.2-chat,0.9617407778021674,0.16820852506029182,0.9952920391469353,0.013539814437718994,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8066666666666669,0.33193038092012284,0.8766666666666667,0.2763049844726737,0.9550457687853044,0.17780165048967506
GPT5.4 2026/03,0.9337813829727488,0.23389822557614867,0.9955581732790704,0.01347263905869411,0.9975,0.020258742968572045,1.0,0.0,1.0,0.0,1.0,0.0,0.6466666666666668,0.3882152896410846,0.6866666666666669,0.3812843791421015,0.9075216111981441,0.2525876792351463
Claude 3.5 Haiku,0.9372102031087125,0.20333849938261483,0.9835427958384537,0.029141582839164813,0.7787121212121213,0.39473835307198235,1.0,0.0,1.0,0.0,1.0,0.0,0.8166666666666668,0.3254910819737531,0.8866666666666667,0.2659156090023885,0.9253498066865777,0.23176652267036163
Claude 3.5 Sonnet,0.9502468686094878,0.17512755766957627,0.9901490676746112,0.022134376986040764,0.8322222222222224,0.37047517035808475,0.9799999999999999,0.12489995996796797,1.0,0.0,1.0,0.0,0.8566666666666668,0.2949764585710377,0.8566666666666668,0.2949764585710377,0.933243936479957,0.22209045921543658
Deepseek-Coder-33B,0.7734129770412335,0.3661080276092863,0.8817367378543588,0.2693530836252286,0.26268175032741586,0.2971629859204894,0.9430930232558138,0.22106237296750142,0.9839999999999999,0.11199999999999999,0.31335064935064944,0.30850384937953157,0.688576044047967,0.3789162970449901,0.7032078269937033,0.3736423818239011,0.6937573761088927,0.39582308709479935
Deepseek-R1,0.9547245578730915,0.1737558185715562,0.9911582919713068,0.02022299730126678,0.9916666666666665,0.08936504412303006,0.935,0.246525860712421,1.0,0.0,1.0,0.0,0.7460000000000001,0.38247091392679783,0.8320000000000001,0.3158733923583942,0.931318689563883,0.22551238100649476
Deepseek-Chat-v3,0.8434528078802839,0.34706237286561475,0.9911042414073857,0.019669968843463805,0.5905419037602864,0.46596745214241325,0.9574999999999999,0.2017269193736919,0.9974999999999998,0.04993746088859544,0.9225000000000001,0.21441295825268272,0.7016666666666668,0.38412599206221104,0.7816666666666667,0.34768680031187715,0.8482415357976614,0.325586428880378
