,R-Syn-1,R-Syn-Max,R-Sem,S-Syn-1,S-Syn-Max,S-Sem-R,S-Sem-W-1,S-Sem-W-max,total
Qwen-3.5-397B,0.941 (±0.215),0.994 (±0.015),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.940 (±0.211),0.940 (±0.211),0.977 (±0.133)
Claude Opus 4.6,0.934 (±0.234),0.996 (±0.013),0.657 (±0.415),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.747 (±0.362),0.837 (±0.311),0.896 (±0.270)
Claude Sonnet 4.6,0.934 (±0.234),0.996 (±0.013),0.282 (±0.300),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.747 (±0.362),0.797 (±0.338),0.844 (±0.321)
Gemini 3 Flash Preview,0.961 (±0.168),0.995 (±0.014),0.973 (±0.061),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.760 (±0.367),0.850 (±0.312),0.942 (±0.200)
GPT5.2-chat,0.962 (±0.168),0.995 (±0.014),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.807 (±0.332),0.877 (±0.276),0.955 (±0.178)
GPT5.4 2026/03,0.934 (±0.234),0.996 (±0.013),0.998 (±0.020),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.647 (±0.388),0.687 (±0.381),0.908 (±0.253)
Claude 3.5 Haiku,0.937 (±0.203),0.984 (±0.029),0.779 (±0.395),1.000 (±0.000),1.000 (±0.000),1.000 (±0.000),0.817 (±0.325),0.887 (±0.266),0.925 (±0.232)
Claude 3.5 Sonnet,0.950 (±0.175),0.990 (±0.022),0.832 (±0.370),0.980 (±0.125),1.000 (±0.000),1.000 (±0.000),0.857 (±0.295),0.857 (±0.295),0.933 (±0.222)
Deepseek-Coder-33B,0.773 (±0.366),0.882 (±0.269),0.263 (±0.297),0.943 (±0.221),0.984 (±0.112),0.313 (±0.309),0.689 (±0.379),0.703 (±0.374),0.694 (±0.396)
Deepseek-R1,0.955 (±0.174),0.991 (±0.020),0.992 (±0.089),0.935 (±0.247),1.000 (±0.000),1.000 (±0.000),0.746 (±0.382),0.832 (±0.316),0.931 (±0.226)
Deepseek-Chat-v3,0.843 (±0.347),0.991 (±0.020),0.591 (±0.466),0.957 (±0.202),0.997 (±0.050),0.923 (±0.214),0.702 (±0.384),0.782 (±0.348),0.848 (±0.326)
Gemini 1.5 Flash,0.920 (±0.242),0.983 (±0.028),0.878 (±0.325),0.865 (±0.324),0.910 (±0.272),1.000 (±0.000),0.850 (±0.304),0.850 (±0.304),0.907 (±0.263)
Gemini 1.5 Pro,0.887 (±0.291),0.966 (±0.127),0.796 (±0.399),0.845 (±0.339),0.905 (±0.286),1.000 (±0.000),0.883 (±0.276),0.883 (±0.276),0.896 (±0.282)
Gemini 2.0 Flash Exp,0.986 (±0.025),0.988 (±0.024),0.931 (±0.197),0.994 (±0.079),1.000 (±0.000),1.000 (±0.000),0.604 (±0.394),0.657 (±0.387),0.895 (±0.260)
Llama-3.1-70B,0.908 (±0.234),0.973 (±0.034),0.559 (±0.484),0.997 (±0.050),0.997 (±0.050),1.000 (±0.000),0.694 (±0.381),0.754 (±0.361),0.860 (±0.311)
Llama-3.1-8B,0.779 (±0.375),0.915 (±0.228),0.462 (±0.421),0.401 (±0.475),0.521 (±0.477),0.535 (±0.377),0.273 (±0.401),0.355 (±0.425),0.530 (±0.452)
Llama-3.2-1B,0.250 (±0.366),0.411 (±0.409),0.159 (±0.254),0.026 (±0.143),0.079 (±0.260),0.021 (±0.070),0.010 (±0.050),0.027 (±0.073),0.123 (±0.276)
